mESC,pro-B,Myotube,Th-cell,Macrophage
,NM_178187,NM_028079,NM_001001932,NM_008509
,NM_178208,NM_022992,NM_010511,NM_011723
,NM_001166030,NM_175437,NM_026414,NM_009941
,NM_025508,NM_173866,NM_011662,NM_021364
,NM_011518,NM_134068,NM_013508,NM_007569
,NM_009946,NM_001033340,NM_001033236,NM_001033463
,NM_028597,NM_001159603,NM_011400,NM_020505
,NM_145976,NM_009572,NM_009419,NM_010432
,NM_028878,NM_019965,NM_010067,NM_016773
,NM_008369,NM_001001979,NM_001159367,NM_026482
,NM_021504,NM_001122639,NM_011346,NM_053108
,NM_183208,NM_176829,NM_007976,NM_183208
,NR_033492,NM_009871,NM_010431,NM_148922
,NM_001114879,NM_023117,NM_001160251,NM_001145954
,NM_001033668,NM_008037,NM_001017426,NM_001163396
,NM_028932,NM_001081185,NM_001111022,NM_177337
,NM_025295,NM_013831,NR_029821,NM_027482
,NM_001146022,NM_199364,NR_015614,NM_028478
,NM_001123371,NM_001145920,NM_177320,NM_178119
,NM_001162863,NM_144900,NM_017464,NM_011520
,NM_183175,NM_010722,NM_001042660,NM_172647
,NM_008915,NM_133665,NM_008668,NM_013642
,NM_008115,NM_001004149,NM_001159538,NM_011034
,NM_008879,NM_133816,NM_013807,NM_172589
,NM_001081377,NM_024174,NR_027893,NM_198601
,NM_029341,NM_024474,NM_019572,NM_019464
,NM_026002,NM_011552,NM_144541,NM_008310
,NM_181317,NM_146224,NM_009800,NM_028166
,NM_011740,NM_008881,NM_207653,NM_007493
,NM_031378,NR_026944,NM_133757,NM_026669
,NM_009192,NM_027885,NM_001177674,NM_007564
,NM_008975,NM_009317,NM_008338,NM_176919
,NM_001099217,NM_007662,NM_172785,NM_023456
,NM_172611,NM_030207,NM_007642,NM_145148
,NM_145475,NM_019397,NM_030732,NM_144846
,NM_178114,NR_028575,NM_010500,NM_001024604
,NM_019572,NM_013905,NM_173398,NM_010120
,NM_010679,NM_008842,NM_025954,NM_018824
,NM_001162932,NM_019739,NM_023402,NM_025655
,NM_028964,NM_011682,NM_144539,NM_030692
,NM_001190325,NM_001164791,NM_026942,NM_010421
,NM_016983,NM_175270,NM_001164374,NM_172903
,NM_009744,NM_001163356,NM_001025255,NM_001177753
,NM_178665,NM_007582,NR_027805,NM_008533
,NM_027904,NM_011106,NM_001163632,NM_028162
,NM_001033539,NM_001166585,NM_001081105,NM_010730
,NM_010739,NR_029552,NM_026071,NM_022026
,NM_010581,NR_033813,NM_008136,NM_011210
,NM_018784,NM_177901,NM_028283,NM_009878
,NM_010954,NM_201389,NM_199322,NM_009744
,NM_008338,NM_018745,NM_022305,NM_178886
,NR_030429,NM_029569,NM_018851,NR_027968
,NM_133659,NM_001167873,NM_007420,NM_019971
,NM_080553,NM_009324,NM_011530,NM_016740
,NM_146075,NM_153778,NM_018865,NM_175165
,NM_001159538,NM_001029838,NM_025412,NM_025779
,NM_008842,NM_001159965,NM_008417,NM_023409
,NM_033444,NM_001170847,NM_178901,NM_178446
,NM_010735,NM_175279,NM_178803,NM_010228
,NM_134122,NM_001081242,NM_013730,NM_001033348
,NM_009505,NM_178608,NM_008972,NM_007901
,NM_001081636,NM_194053,NM_007783,NM_030563
,NM_007632,NM_001164745,NM_017373,NM_198019
,NM_001033405,NM_018866,NM_021549,NM_133685
,NM_009372,NM_010168,NM_001001735,NM_175497
,NM_001001806,NM_144945,NM_176836,NM_010500
,NM_001167539,NM_028937,NM_001033399,NM_013737
,NM_134112,NM_016752,NM_001083810,NM_001081279
,NM_009668,NR_029465,NM_009917,NM_133933
,NM_133687,NM_001081243,NM_001136073,NM_027678
,NM_007858,NM_025368,NM_028669,NM_001013365
,NM_018744,NM_011596,NM_001111111,NM_001168404
,NM_175751,NM_008947,NM_021878,NR_024078
,NM_001083967,NM_013867,NM_001081157,NM_009397
,NM_026316,NR_029649,NM_001162433,NM_001164369
,NM_144532,NM_011529,NM_001163631,NM_010818
,NM_031868,NR_033514,NR_029532,NM_021293
,NM_027196,NM_010101,NM_177397,NM_001081045
,NM_130863,NM_007389,NM_194334,NM_001025377
,NR_002847,NM_016749,NM_025275,NM_009464
,NR_003513,NM_026473,NM_021887,NM_028608
,NM_011242,NM_025459,NM_008404,NM_182782
,NM_001168526,NM_008393,NM_010592,NM_028835
,NM_008960,NM_025873,NM_009430,NM_007420
,NM_009345,NM_009238,NM_133769,NM_013515
,NM_031376,NM_201411,NR_033689,NM_001081163
,NM_009128,NM_013471,NM_172457,NM_001163572
,NM_009127,NM_026837,NR_029457,NR_029751
,NM_053100,NM_080595,NM_001164598,NM_175164
,NR_028427,NM_023716,NM_019732,NM_178606
,NM_145505,NM_018882,NM_001033465,NM_029153
,NM_028773,NM_001001884,NM_001162970,NM_023813
,NM_019680,NM_177305,NR_029768,NM_172591
,NM_001101606,NM_001122739,NM_011337,NM_173182
,NM_021278,NM_001033213,NM_001197321,NM_177028
,,NM_172487,NM_008842,NM_029756
,,NM_145132,NM_007913,NM_133749
,,NM_026316,NM_172688,NM_001001182
,,NM_001083957,NM_009983,NM_019793
,,NM_016758,NM_013486,NM_023305
,,NM_001039510,NM_008377,NM_031198
,,NM_009423,NM_010902,NM_031881
,,NM_001163175,NM_013571,NR_027478
,,NM_029624,NM_028133,NM_183249
,,NM_053100,NM_023049,NM_001167981
,,NM_008481,NR_003623,NM_030060
,,NM_025994,NM_018853,NM_033563
,,NM_001037724,NM_008879,NM_008655
,,NM_023336,NM_001168526,NM_001114332
,,NR_001592,NM_053100,NM_021539
,,NM_001142918,NM_001042501,NM_012054
,,NM_145617,NM_008655,NM_183158
,,NM_177652,NM_018781,NM_001164071
,,NR_033304,NM_008979,NM_138597
,,NM_144846,NM_007498,NM_001109661
,,NM_025807,NM_026381,NM_026092
,,NR_002452,NM_001083318,NM_026718
,,NM_009911,NR_028424,NM_053214
,,NM_001033208,NM_013839,NM_177378
,,NM_146057,NM_010743,NM_026644
,,NM_001034878,NM_001159375,NM_001166375
,,NM_008343,NM_011756,NM_001099634
,,NM_146250,NM_010472,NM_020600
,,NM_009851,NM_023374,NM_133757
,,NM_009014,NM_028451,NM_018797
,,NM_001081347,NM_177603,NM_009864
,,NM_178715,NM_001033805,NM_178367
,,NM_030749,NM_008844,NM_176912
,,NM_008845,NM_025664,NM_016920
,,NM_001159509,NM_010813,NM_009856
,,NM_013645,NM_007707,NM_009419
,,NM_001029889,NM_001166385,NM_008982
,,NM_029381,NM_008515,NM_010928
,,NM_133641,NM_009744,NM_026829
,,NM_145445,NM_027882,NM_133819
,,NM_001081636,NM_015743,NM_009412
,,NM_001033145,NM_009829,NM_008538
,,NM_013681,NM_144549,NM_030174
,,NM_011156,NM_001163565,NM_010217
,,NM_001163480,NM_008132,NM_008391
,,NM_175456,NM_028041,NM_008873
,,NM_010831,NR_029793,NM_010293
,,NM_172925,NM_007481,NM_001005864
,,NR_029822,NM_001145970,NM_010560
,,NM_027721,NM_021606,NM_009396
,,NM_023245,NM_001081044,NM_009983
,,NM_177289,NM_001167996,NM_178716
,,NM_009082,NM_134074,NM_011756
,,NM_007880,NM_175104,NM_001136075
,,NM_030565,NM_001146027,NM_027749
,,NM_028863,NM_008037,NM_026331
,,NM_013692,NR_030494,NM_146244
,,NM_178406,NM_027427,NM_133825
,,NM_172809,NM_015732,NM_029049
,,NM_177445,,NM_145375
,,NM_146155,,NM_178729
,,NM_172505,,NM_024226
,,NM_001163300,,NM_029635
,,NM_178692,,NM_001013813
,,NM_013635,,NM_030249
,,NM_133249,,NM_011175
,,NM_001161818,,NM_145073
,,NM_008453,,NM_019580
,,NM_001195596,,NR_015474
,,NM_028921,,NM_009230
,,NM_007631,,NM_029682
,,NM_001083934,,NM_001114311
,,NM_007984,,NM_008425
,,NM_011817,,NM_021507
,,NM_026315,,NM_026474
,,NM_008795,,NM_001033238
,,NM_008337,,NM_007570
,,NM_010078,,NM_001195633
,,NM_010745,,NM_011146
,,NM_033320,,NR_029532
,,NM_008083,,NM_008098
,,NM_009416,,NM_029422
,,NM_030145,,NM_001083927
,,NM_198294,,NM_001145433
,,NM_001080979,,NM_028127
,,NM_146071,,NM_183034
,,NM_026599,,NM_008357
,,NM_178615,,NR_033140
,,NM_181401,,NM_018747
,,NM_178119,,NM_183390
,,NM_177378,,NM_001033299
,,NM_001177794,,NM_020265
,,NM_010818,,NM_001177833
,,NM_018825,,NM_007548
,,NM_001005422,,NM_024406
,,NM_007956,,NM_028079
,,NM_001001986,,NM_008562
,,NM_172484,,NM_145156
,,NM_001164251,,NM_175291
,,NM_178267,,NM_008359
,,NM_008592,,NM_001037727
,,NM_024286,,NM_026283
,,NM_172418,,NM_010821
,,NR_033430,,NM_145923
,,NM_030719,,NM_001111275
,,NM_023580,,NM_028940
,,NM_178930,,NM_028248
,,NM_001136075,,NM_001081074
,,NM_001198566,,NM_008410
,,NR_035495,,NM_011673
,,NM_008968,,NM_008964
,,NM_145420,,NM_026178
,,NM_014193,,NM_015737
,,NM_009023,,NM_010740
,,NM_029736,,NM_010637
,,NR_015485,,NM_153389
,,NR_030254,,NM_175088
,,NM_001081310,,NM_194334
,,NM_145923,,NM_016846
,,NM_001081418,,NM_009140
,,NM_173785,,NM_031165
,,NM_001145929,,NM_023598
,,NM_182994,,NM_013508
,,NM_025964,,NM_008131
,,NM_011780,,NM_009662
,,NM_008250,,NR_027838
,,NM_007433,,NM_018869
,,NM_010637,,NM_001159517
,,NM_134086,,NM_011414
,,NM_172721,,NR_003648
,,NM_025681,,NM_183031
,,NM_019636,,NM_007972
,,NR_029532,,NM_031378
,,NM_026634,,NM_026654
,,NM_145857,,NM_028639
,,NM_001083808,,NM_028110
,,NM_022422,,NM_172722
,,NM_030024,,NM_001136484
,,NM_146131,,NM_009645
,,NM_001113412,,NM_177304
,,NM_172964,,NM_025494
,,NM_025833,,NM_133218
,,NM_030004,,NM_178626
,,NM_011851,,NM_025282
,,NM_026161,,NM_028182
,,NM_011351,,NM_024473
,,NM_008732,,NM_015753
,,NM_008296,,NM_009192
,,NM_029810,,NM_027881
,,NM_001161362,,NM_133753
,,NM_152808,,NM_028724
,,,,NM_027496
,,,,NM_030701
,,,,NM_144797
